W102800077393001,4989,TAMIL NADU,Dindugal,ODDANCHATRAM,Chattrapatti,10.4667,77.6583,2021,8.00,2720,0.00,134,744,72,195,,950,232,90,198,5,0.08,,,0.86
W102200077581501,4990,TAMIL NADU,Dindugal,DINDIGUL,Dindigul2,10.3667,77.9708,2021,7.90,1890,0.00,567,195,144,70,,480,74,72,212,11,1.14,,,1.76
W101530077553001,4991,TAMIL NADU,Dindugal,ATHOOR,Gandhigram,10.2583,77.9250,2021,7.70,1250,0.00,317,174,74,57,,325,88,26,133,8,0.60,,,4.27
W104050078065601,4992,TAMIL NADU,Dindugal,GUZILIAMPARAI,Guzilamparai,10.6806,78.1156,2021,7.79,1745,0.00,397,230,130,101,,395,114,27,214,9,0.25,,,4.71
W102105077594001,4993,TAMIL NADU,Dindugal,DINDIGUL,Hanumanthanagar,10.3514,77.9944,2021,7.50,360,0.00,134,28,43,2,,100,28,7,40,6,0.42,,,1.06
W104530078020001,4994,TAMIL NADU,Dindugal,GUZILIAMPARAI,Idayapatti,10.7583,78.0333,2021,7.60,1280,0.00,323,170,110,20,,310,62,38,143,16,0.62,,,6.13
W104017077593101,4995,TAMIL NADU,Dindugal,GUZILIAMPARAI,Kakkinapatti,10.6714,77.9922,2021,7.85,1363,0.00,378,209,48,24,,495,126,44,83,8,0.32,,,2.04
W102830077340001,4996,TAMIL NADU,Dindugal,PALANI,Kanakkanpatti,10.4750,77.5667,2021,7.86,4030,0.00,751,638,326,218,,1000,144,156,465,22,0.52,,,1.74
W101405077290001,4997,TAMIL NADU,Dindugal,KODAIKANAL,Kodaikanal,10.2347,77.4833,2021,7.46,146,0.00,37,25,10,1,,40,10,4,14,0,0.07,,,0.01
W104337078082101,4998,TAMIL NADU,Dindugal,GUZILIAMPARAI,Muthampattipalayam,10.7272,78.1392,2021,7.92,3230,0.00,561,603,202,175,,815,186,85,380,22,0.83,,,5.44
W102232077590701,4999,TAMIL NADU,Dindugal,KODAIKANAL,Nandavanampatti,10.2256,77.5929,2021,7.87,2440,0.00,616,397,158,9,,510,120,51,322,24,0.63,,,2.30
W102915077451501,5000,TAMIL NADU,Dindugal,ODDANCHATRAM,Oodanchatram,10.4875,77.7542,2021,7.43,2530,0.00,592,468,43,99,,750,144,95,235,5,0.44,,,1.82
W102915077451501,5001,TAMIL NADU,Dindugal,ODDANCHATRAM,Oodanchatram,10.4880,77.7577,2021,7.49,2650,0.00,488,425,192,192,,1080,128,185,120,5,0.18,,,0.20
W102756077482001,5002,TAMIL NADU,Dindugal,REDDIARCHATRAM,Palakanthu,10.4658,77.8056,2021,7.60,1667,0.00,482,181,53,122,,555,112,67,115,6,1.45,,,1.49
W102600077304501,5003,TAMIL NADU,Dindugal,PALANI,Palani2,10.4333,77.5125,2021,8.14,307,0.00,85,39,24,5,,95,30,5,25,6,0.41,,,0.02
W101605077323001,5004,TAMIL NADU,Dindugal,KODAIKANAL,Perumal Malai,10.2681,77.5417,2021,7.80,55,0.00,18,7,5,1,,20,6,1,5,1,0.32,,,0.01
W102742077422101,5005,TAMIL NADU,Dindugal,ODDANCHATRAM,Pudu Ettama Nayakar Patti,10.4619,77.7061,2021,7.00,1789,0.00,470,177,58,189,,620,88,97,103,5,1.17,,,0.02
W102500077514001,5006,TAMIL NADU,Dindugal,REDDIARCHATRAM,Reddiarchattram,10.4167,77.8611,2021,7.70,1342,0.00,464,131,47,70,,380,68,51,129,6,0.23,,,2.06
W102500077514001,5007,TAMIL NADU,Dindugal,REDDIARCHATRAM,Reddiarchattram,10.4167,77.8611,2021,7.80,1329,0.00,354,156,82,102,,495,130,41,83,2,0.96,,,2.06
W104450078053001,5008,TAMIL NADU,Dindugal,GUZILIAMPARAI,Servaikaranpatti,10.7416,78.1041,2021,7.60,2710,0.00,226,794,67,27,,1130,120,202,115,8,0.88,,,16.73
W102023078052401,5009,TAMIL NADU,Dindugal,VADAMADURAI,Siluvathur OW,10.4383,78.0855,2021,7.86,1200,0.00,336,152,96,15,,345,72,40,115,5,0.98,,,10.87
W102734078013701,5010,TAMIL NADU,Dindugal,VADAMADURAI,Sundarapuri,10.4597,78.0272,2021,8.20,1094,0.00,366,128,43,21,,350,40,61,83,12,0.10,,,5.46
W102419078024301,5011,TAMIL NADU,Dindugal,DINDIGUL,Thamaraipadi,10.4053,78.0453,2021,7.81,4180,0.00,928,681,240,161,,890,220,83,552,16,0.29,,,3.00
W103524077313701,5012,TAMIL NADU,Dindugal,THOPPAMAPATTI,Thoppampatti,10.5900,77.5269,2021,7.80,2340,0.00,366,553,34,99,,690,78,120,221,14,0.90,,,1.75
W103200077311501,5013,TAMIL NADU,Dindugal,THOPPAMAPATTI,Thumbalapatti,10.5333,77.5208,2021,7.68,1291,0.00,549,78,43,50,,425,20,91,92,12,0.53,,,0.22
W102130078060001,5014,TAMIL NADU,Dindugal,VADAMADURAI,Vadamadurai,10.4422,78.1030,2021,7.23,2360,0.00,323,418,221,149,,610,144,61,276,4,0.38,,,1.74
W102130078060001,5015,TAMIL NADU,Dindugal,SHANARPATTI,Vadamadurai,10.3583,78.1000,2021,7.76,2490,0.00,421,440,154,109,,740,196,61,219,4,0.28,,,1.59
W103244078041801,5016,TAMIL NADU,Dindugal,VEDASANDUR,Vaivespuram,10.5458,78.0719,2021,8.00,2270,0.00,281,362,206,231,,660,100,100,216,12,0.23,,,13.18
W103150077571001,5017,TAMIL NADU,Dindugal,VEDASANDUR,Vedasandur2,10.5306,77.9528,2021,7.77,4160,0.00,488,1028,202,5,,1060,68,216,460,13,0.71,,,4.74
W122400079463001,5018,TAMIL NADU,Kancheepuram,ARCHARAPAKKAM,Acharapakkam,12.4064,79.8133,2021,7.81,1020,0.00,384,142,3,1,,390,84,44,37,1,1.04,,,0.50
W125407080145801,5019,TAMIL NADU,Kancheepuram,ST_THOMAUS_MT,Akkarai,12.9020,80.2494,2021,7.48,853,0.00,256,121,46,57,,310,52,44,54,17,0.12,,,2.49
W123353079434501,5020,TAMIL NADU,Kancheepuram,UTHIRAMERUR,Arasanimangalam,12.5689,79.7233,2021,7.10,1150,0.00,299,145,60,70,,380,100,32,64,1,0.52,,,1.59
W113530078351001,5021,TAMIL NADU,Kancheepuram,ARCHARAPAKKAM,Athur,12.4064,79.8133,2021,7.20,1422,0.00,323,248,50,40,,450,64,70,99,1,1.15,,,3.00
W125148080133401,5022,TAMIL NADU,Kancheepuram,ST_THOMAUS_MT,Chemmancheri,12.8633,80.2261,2021,7.45,764,0.00,92,114,108,34,,190,20,34,69,40,0.37,,,0.18
W125626080081501,5023,TAMIL NADU,Kancheepuram,ST_THOMAUS_MT,Chitlapakkam,12.9403,80.1378,2021,7.42,497,0.00,134,60,16,50,,165,24,26,36,1,0.17,,,0.28
W125705080082101,5024,TAMIL NADU,Kancheepuram,ST_THOMAUS_MT,Chrompet,12.9500,80.1338,2021,7.09,1761,0.00,525,312,29,7,,530,76,83,169,4,0.91,,,1.04
W121530079543001,5025,TAMIL NADU,Kancheepuram,CHITAMUR,Chunamedu,12.2586,79.9028,2021,7.11,485,0.00,226,28,2,21,,160,32,19,36,0,0.40,,,0.47
W125030080040001,5026,TAMIL NADU,Kancheepuram,KATTANKOLATHUR,Guduvancheri,12.8439,80.0622,2021,7.15,1360,0.00,275,220,10,99,,420,120,29,96,30,0.69,,,0.73
W125000079423001,5027,TAMIL NADU,Kancheepuram,KANCHEEPURAM,Kancheepuram,12.8336,79.7025,2021,7.80,3930,0.00,1110,596,8,72,,140,32,15,722,23,1.76,,,111.00
W125743080110301,5028,TAMIL NADU,Kancheepuram,ST_THOMAUS_MT,Kilkattalai,12.9574,80.1785,2021,7.40,1616,0.00,336,305,78,39,,460,120,39,153,4,0.55,,,0.78
W125207080063701,5029,TAMIL NADU,Kancheepuram,KATTANKOLATHUR,Kolapakkam,12.8687,80.1101,2021,7.38,1824,0.00,397,312,73,98,,480,116,46,199,2,0.64,,,1.69
W122050079543001,5030,TAMIL NADU,Kancheepuram,CHITAMUR,Kolathanallur,12.3506,79.9014,2021,7.64,962,0.00,268,163,6,19,,250,44,34,104,2,0.90,,,0.47
W125356080093801,5031,TAMIL NADU,Kancheepuram,ST_THOMAUS_MT,Madambakkam,12.9008,80.1615,2021,7.38,1960,0.00,445,369,44,26,,490,104,56,214,3,0.78,,,2.52
W123730080113001,5032,TAMIL NADU,Kancheepuram,THIRUKALUKUNDRUM,Mahabalipuram,12.6158,80.1925,2021,7.55,443,0.00,128,57,54,3,,190,24,32,17,6,0.59,,,0.15
W125539080023401,5033,TAMIL NADU,Kancheepuram,KUNDRATHUR,Manimangalam,12.9190,80.0424,2021,7.54,2100,0.00,628,277,40,146,,330,92,24,169,268,0.97,,,0.96
W125324080041101,5034,TAMIL NADU,Kancheepuram,THIRUPORUR,Mannivakkam,12.8922,80.8019,2021,7.00,1016,0.00,201,160,56,35,,370,76,44,37,2,0.38,,,0.38
W125330080040801,5035,TAMIL NADU,Kancheepuram,KATTANKOLATHUR,Mudichur,12.8943,80.0645,2021,7.40,1710,0.00,403,291,52,65,,430,140,19,182,21,0.37,,,0.29
W125822080091601,5036,TAMIL NADU,Kancheepuram,ST_THOMAUS_MT,Pallavaram,12.9814,80.1560,2021,7.27,2090,0.00,397,391,106,40,,510,132,44,217,2,0.89,,,6.92
W125500080063001,5037,TAMIL NADU,Kancheepuram,ST_THOMAUS_MT,Perungulathur,12.9173,80.0856,2021,7.32,2690,0.00,622,518,71,53,,440,80,58,402,4,1.11,,,2.33
W125120080101001,5038,TAMIL NADU,Kancheepuram,THIRUPORUR,Ponmar,12.8338,80.1667,2021,7.52,909,0.00,220,170,35,2,,340,64,44,52,5,0.20,,,0.00
W123800079500001,5039,TAMIL NADU,Kancheepuram,UTHIRAMERUR,Rettamangalam,12.6300,79.8336,2021,7.10,840,0.00,305,57,30,25,,230,76,10,54,0,0.99,,,1.67
